country,2017,2018,2019,2020,2021
Tunisia,14199816,15521229,14994819,13828833,16432745
Luxembourg,11517511,15148367,14667447,13506053,16247127
Congo Democratic Republic of the,12295708,20004285,13382299,14122147,16086609
Myanmar,13878764,16694858,18105886,16929247,15144859
Costa Rica,10607355,11255809,11452817,11625662,14345396
Uzbekistan,10079210,10920700,14344696,13127295,14034977
Guatemala,11011392,10863493,11183088,11401650,13594246
Panama,10601014,11621377,11473935,9656808,13373218
Sri Lanka,11741037,,11974156,10706858,13331249
Ghana,14358510,17099588,16768275,14139007,13082386
C�te d'Ivoire,12688047,11793157,12935306,12454042,12874164
Bahrain,12485371,14347750,14167296,11559667,12480685
Papua New Guinea,10606097,11245125,11761231,9955944,11905299
Dominican Republic,10224662,9395611,10078188,9848863,11831534
Zambia,8156628,9111114,6962507,8060547,11217517
Brunei Darussalam,5586316,6506565,7249807,6614320,11058184
Bolivia Plurinational State of,8194491,8964856,8924398,7015198,11030013
Paraguay,8679987,9042469,7652036,8518480,10547296
Uruguay,7946411,7641122,7816028,7010245,9507423
Mongolia,6200593,7011758,7619754,7576311,9247110
Macedonia North,5682803,6906337,7195141,6633216,9172071
Bosnia and Herzegovina,6366918,7182146,6578244,6148985,8614111
Trinidad and Tobago,9478164,10879713,7171253,5505147,8579957
Jordan,7469238,7750263,8312917,7954403,8490683
Guinea,6221828,6248096,6647605,12092237,7523583
Gabon,5775738,7141096,7328214,5339672,6761751
Kenya,5746757,6049226,5836027,6025429,6751366
Nicaragua,4925581,5013908,5272553,5087343,6495086
Tanzania United Republic of,4094291,3797407,4932713,5984824,6390863
Zimbabwe,3480382,4037945,4279384,4394831,6036173
Iceland,4853473,5591188,5231459,4595669,5976689
El Salvador,4552996,4642690,4777618,4141009,5660025
Lao People's Democratic Republic,4909734,5814806,4980648,5363065,5485850
Cameroon,3264185,3804848,5715205,4497315,5194386
Equatorial Guinea,5339867,6569403,5119402,3216651,5114185
Mozambique,4687405,5160904,4722313,3460033,5111686
Burkina Faso,2820721,3269734,3261124,4381069,5062637
Honduras,5289789,4486630,3091163,4666296,4975949
Senegal,3013160,3630401,4175809,3934554,4486066
Guyana,1786473,1482901,3842163,2805741,4243572
Namibia,5183908,7488296,6439325,5424088,4233446
Lebanon,2843536,3829848,3731350,3807461,4229977
Cyprus,3360809,5064927,3520899,3137096,3886871
Botswana,5954789,6122377,5238079,4255976,3781582
Free Zones,6344223,6389380,4300110,2566485,3728841
Venezuela Bolivarian Republic of,33956949,37854955,17092150,4858752,3568881
Georgia,2344033,2538234,2699657,2554547,3291376
Albania,2301341,2875860,2719429,2415632,3283037
Mauritania,2057289,2184109,2890635,2946811,3266989
Malta,2850079,3195311,3178809,2674923,3200432
Moldova Republic of,2425119,2706818,2779165,2467107,3144476
Turkmenistan,8397222,10129674,3165705,2519177,3082239
Ethiopia,2862593,2671813,2678468,2526221,3057629
Armenia,2144963,2383414,2620069,2512517,2971222
Madagascar,2808106,3000696,2564400,1956910,2718729
Sudan,4240643,3619252,4198236,4066944,2368466
Congo,8264703,11303439,5577729,4977501,2362230
Chad,1340021,1696521,1332572,1705682,2224350
Mali,1902730,3624307,3642251,5105103,2087382
Eswatini,1801635,1851122,2001762,1752118,2068472
New Caledonia,1655790,2128215,1859499,1895713,2044175
Yemen,2342892,1669258,1577762,1377534,1874354
Tajikistan,983826,1073858,1115850,1311879,1786685
Cuba,2344188,2313587,1720300,1774219,1738806
Liberia,194669,1461310,2013416,1099247,1690514
Mauritius,2094865,1979069,1873604,1548472,1684826
Uganda,2901296,3087274,3563785,4148958,1680157
Nepal,736979,781143,959629,855421,1665728
Kyrgyzstan,1790758,1764613,1965502,1964466,1658949
Faroe Islands,1432174,1353566,1425141,1329833,1544109
Suriname,2067394,1502817,1460966,1388641,1513206
Afghanistan,831927,875241,863833,1824071,1508875
Greenland,595837,640897,1294618,1371351,1412711
Macao China,,1161004,1023983,1024582,1392425
Haiti,173920,1252239,1342290,1049542,1384001
Marshall Islands,689447,784417,1255464,786525,1335398
Bahamas,473337,524222,537265,339360,1133990
Jamaica,1309718,1878239,1651161,1218399,1114717
Togo,870227,1024231,1025312,980130,1069303
Benin,741696,952105,850669,845407,1024180
Lesotho,673576,733148,645750,818488,1017993
Malawi,889126,879825,912983,781981,959366
Sierra Leone,167880,204991,755868,608421,958401
Syrian Arab Republic,798813,735862,747885,938576,901890
Fiji,998192,1017885,1028722,827647,815880
Seychelles,594600,864798,844891,345439,695778
Niger,871002,889679,854318,1247237,633014
Solomon Islands,499715,569112,705164,545692,532691
Eritrea,430028,516425,495212,647859,501526
South Sudan,1290877,1661905,1662529,856740,480330
Cura�ao,105014,115240,96336,82143,439204
Montenegro,371463,400107,415484,365985,437051
Rwanda,948319,1017862,1161751,938023,398060
Djibouti,158969,153557,193745,210980,370857
Bhutan,239163,318487,279132,203574,369782
Barbados,485394,457730,444089,345206,350173
Timor-Leste,24174,79841,123267,109609,332257
Falkland Islands (Malvinas),212648,310258,317653,418009,320570
Vanuatu,239917,181622,173204,211310,285094
British Virgin Islands,495430,352865,411535,578800,258057
Belize,293256,243304,244906,211873,257479
Nauru,27580,21590,34445,111592,209623
United States Minor Outlying Islands,166032,208072,118076,127375,209363
Micronesia Federated States of,96342,130253,142950,131285,200560
Ship stores and bunkers,157261,2984781,7907957,224102,193507
Guinea-Bissau,189269,244799,249795,166244,181587
French Polynesia,169175,155313,142134,80621,172965
Somalia,426263,488735,418037,295938,165839
Tuvalu,9424,30891,20369,13901,154789
Maldives,199325,181663,158016,162558,151581
Korea Democratic People's Republic of,2070834,354308,476305,187451,150837
Cabo Verde,49935,75271,61879,53118,126409
Andorra,117966,129448,117807,122466,117380
Burundi,149966,180347,180772,162313,113150
Gibraltar,343443,162217,149171,193677,110239
Kiribati,15247,8186,,9271,102725
Palestine State of,1064884,1155634,1103808,1054621,94724
Central African Republic,199902,54932,125191,41044,89172
Aruba,89080,69766,83627,65930,88347
Saint Kitts and Nevis,33246,95616,80532,70537,70718
Saint Lucia,141656,116814,97256,67437,60625
Saint Helena,28532,33825,24059,13612,40372
Grenada,30518,37746,34481,24620,35163
Comoros,38298,46375,49638,19823,34994
Saint Vincent and the Grenadines,42299,43666,40322,55215,34591
Dominica,70080,81841,59724,43901,33000
Cook Islands,47747,44177,32712,28815,31996
Samoa,44316,46407,49335,37390,28992
Bermuda,11742,22912,26833,19104,28633
Tokelau,71401,52765,21175,44051,28169
Gambia,22742,13068,31410,27900,26401
Bonaire Sint Eustatius and Saba,65883,191833,125100,33464,20720
French Southern and Antarctic Territories,15521,29012,19980,33969,19522
Sao Tome and Principe,10823,12658,9860,12463,19175
Antigua and Barbuda,62391,25841,37400,21770,19147
Cayman Islands,,,,22138,17082
Tonga,17341,14054,16214,11531,15860
Montserrat,5985,5757,5588,5714,15294
Christmas Island,21247,21948,17818,15598,14253
Turks and Caicos Islands,23116,30878,172407,93419,10973
Saint Pierre and Miquelon,5241,6638,7893,7503,9694
Cocos (Keeling) Islands,4086,5287,4621,5036,8866
Sint Maarten (Dutch part),74233,11725,18961,7269,8089
Niue,54869,132329,64149,80190,7671
Anguilla,14157,13462,22561,8965,7363
Western Sahara,779,1018,3063,7572,6664
Pitcairn,1743,2245,2095,3373,6243
Palau,6420,8621,22999,15358,5707
British Indian Ocean Territory,17779,9497,83139,13494,3937
Northern Mariana Islands,4142,3659,4890,8056,3491
Guam,1964,721,920,758,3258
Norfolk Island,2214,2962,2854,2527,2417
American Samoa,13554,10242,4947,3290,1624
Wallis and Futuna Islands,1028,600,2073,1692,514
British Antarctic Territory,4,6,5,4,146
Neutral Zone,20,42,1,29,32
Bouvet Island,63,555,39,74,25
West Asia not elsewhere specified,,,,,23
Serbia and Montenegro,,,,17,
